country,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total
the Netherlands,"Olof Palmestraat 1, 2616 LN Delft, Netherlands","{'location': {'lat': 52.01298449999999, 'lng': 4.3815153}, 'viewport': {'northeast': {'lat': 52.01418807989272, 'lng': 4.382385679892721}, 'southwest': {'lat': 52.01148842010728, 'lng': 4.379686020107277}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,fe559446f2b054658c1b8662374fc03435b1a972,IKEA Delft,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106722596826794469527/photos"">Sieuwe Maas</a>'], 'width': 4048, 'photo_reference': 'CmRaAAAA_xCIJJVdctZzoy5xrhbgt0r1LyIQ5JxpHBZVJFG4RPt5Vhkh4wsnllFfNnrxSpvLExeYpZ2mekKkGdx1NK2bPteE_Oc-uVxFrs1Xy0_o9PS2LWdGbkfreX7UE7LA6GakEhABmralw-jqu91tIMif_WlxGhRPttPzVb1jxj-c5nuEoZ7AvDvJiw'}]",ChIJo6I07vC1xUcRZA27z1-1Q1c,"{'compound_code': '297J+5J Delft, Netherlands', 'global_code': '9F46297J+5J'}",,4.2,ChIJo6I07vC1xUcRZA27z1-1Q1c,"['home_goods_store', 'furniture_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",11969
the Netherlands,"In de Cramer 142, 6412 PM Heerlen, Netherlands","{'location': {'lat': 50.89919159999999, 'lng': 5.9455718}, 'viewport': {'northeast': {'lat': 50.90060662989272, 'lng': 5.94662975}, 'southwest': {'lat': 50.89790697010728, 'lng': 5.942397949999999}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,d4e0586e25eb3490b06babde735f50eff3fd7f7d,IKEA Heerlen,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103964610777528840567/photos"">Shuan</a>'], 'width': 3264, 'photo_reference': 'CmRaAAAA1PZCPIfP-63dec-kWQrpDEK79xhBfirlEOdrD2gwlJK_FPkw0QgSMbkNMzEhhJntn9f9fwY5xCRpkKuTDG_e3y9UrUTXLGub4QN91RfLSTXaaUdV7cpnrpMJDabNn9EEEhCRC_8EHbcOwsfplK3-etGrGhQbuvp0Dw7WBifxNV15_fPlob2m9A'}]",ChIJ0dxLWH--wEcREP1aH--HaWw,"{'compound_code': 'VWXW+M6 Heerlen, Netherlands', 'global_code': '9F27VWXW+M6'}",,4.3,ChIJ0dxLWH--wEcREP1aH--HaWw,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",4979
the Netherlands,"Hullenbergweg 2, 1101 BL Amsterdam, Netherlands","{'location': {'lat': 52.302803, 'lng': 4.949825}, 'viewport': {'northeast': {'lat': 52.30375572989272, 'lng': 4.951389979892721}, 'southwest': {'lat': 52.30105607010727, 'lng': 4.948690320107278}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,a492fe91a15165b9f5b436a1e93e1d2808a1ac63,IKEA,{'open_now': True},"[{'height': 2368, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109367210762794450271/photos"">KEMBL I</a>'], 'width': 4224, 'photo_reference': 'CmRaAAAA_qkQjZbl3oNSSALPhiPvlglK0jevTU8cNrgQ2GesX-ED4pXqMi_vfh3iN_oNr_O8871cqD5St9Xn_h4z6sSlp2xVWWPls0xL06ECFJxHmYq5tr6HUjivurbJxmM5YOvZEhDCdr0CIJMPBK8bywLT2GXlGhTP03eeKuRll7HNnZ5FpP1meUf9qQ'}]",ChIJu0Vo1JwLxkcRhzKUgdqok4E,"{'compound_code': '8W3X+4W Amsterdam, Netherlands', 'global_code': '9F468W3X+4W'}",,4.1,ChIJu0Vo1JwLxkcRhzKUgdqok4E,"['home_goods_store', 'furniture_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",7446
the Netherlands,"Biograaf 2, 6921 EV Duiven, Netherlands","{'location': {'lat': 51.9660508, 'lng': 5.996302399999999}, 'viewport': {'northeast': {'lat': 51.96735662989272, 'lng': 5.997533329892723}, 'southwest': {'lat': 51.96465697010728, 'lng': 5.994833670107279}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,77896b14ba159ced433af53b8039a51de0ab6c0b,IKEA Duiven,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116060871782312349764/photos"">Leit Marzena</a>'], 'width': 3096, 'photo_reference': 'CmRaAAAAb94kLlcvAwFYGZo2q8l-vQNq8gPp96TR9f-Rg_W1B2Om06qblWUce6rVDMulKDvG7AmxeynijjULADHJdqxVbXEnAR5b4Zu9gdyPLhePMtGDa5_gYjIpE0TsE_5UW5txEhArRPbPE1GTaQG_FhcCXsyUGhR_5jSsstMgCSmLBmhNroCTQLvZZg'}]",ChIJ9wVCgcSjx0cRmljggBDlxwo,"{'compound_code': 'XX8W+CG Duiven, Netherlands', 'global_code': '9F37XX8W+CG'}",,4.2,ChIJ9wVCgcSjx0cRmljggBDlxwo,"['furniture_store', 'home_goods_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",7443
the Netherlands,"Laan van Decima 1, 2031 CX Haarlem, Netherlands","{'location': {'lat': 52.3846541, 'lng': 4.669098099999999}, 'viewport': {'northeast': {'lat': 52.38629192989272, 'lng': 4.670156179892722}, 'southwest': {'lat': 52.38359227010728, 'lng': 4.667456520107279}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,0ddaf14e7c1c7cd7e4bbc671a3e0920abbc1a1de,IKEA,{'open_now': True},"[{'height': 5344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107844871465545506716/photos"">Sheila Oude Nijhuis</a>'], 'width': 3006, 'photo_reference': 'CmRaAAAAGNkrywpDPW_4zl8xgEtRDZQ8nPcoKIVdj3l9IA5_1HWN2pOD4Ah9r0uGPUnWPdiYQn6k4gxMNuvN9wVOsK2awRftewVip9Gy_qMEQodn97H3JkT2pNqkdnEBVGPpzQlTEhCYavduvvHscGn_2ks4_f59GhTsynw2g4gLqgHRFJGT-MRg7PeakQ'}]",ChIJpVsnyI_lxUcRWdvPkpX-FSU,"{'compound_code': '9MM9+VJ Haarlem, Netherlands', 'global_code': '9F469MM9+VJ'}",,4.2,ChIJpVsnyI_lxUcRWdvPkpX-FSU,"['home_goods_store', 'furniture_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",7589
the Netherlands,"Het Plein 100, 7559 SR Hengelo, Netherlands","{'location': {'lat': 52.28881639999999, 'lng': 6.7685545}, 'viewport': {'northeast': {'lat': 52.29009097989272, 'lng': 6.769354429892721}, 'southwest': {'lat': 52.28739132010728, 'lng': 6.766654770107277}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,05aa581f0b8b122bd85613810dc56e83216c34bb,IKEA Hengelo,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114715891593190246609/photos"">Willeke Klinkhamer</a>'], 'width': 2988, 'photo_reference': 'CmRaAAAAjixnfjDxIQYkX3jx67FiLfoh9naLKrUeuKY3elshtgLHouUoU1AJ4XOj40WfS7A0TjlJxZIt3ln90i-OtUOnjMKY9NI09N2TtBk0eNCrIcWm51sj3lV700OIuQiGTxO0EhBqw47JPEV1U0yqHdGXmojmGhS0CfcBiEYl8ZfzSgd7yex4PnROnw'}]",ChIJZzLhPzYOuEcR-1MaqDrvuJ8,"{'compound_code': '7QQ9+GC Hengelo, Netherlands', 'global_code': '9F487QQ9+GC'}",,4.3,ChIJZzLhPzYOuEcR-1MaqDrvuJ8,"['furniture_store', 'home_goods_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",4081
the Netherlands,"Kruisweide 1, 4814 RW Breda, Netherlands","{'location': {'lat': 51.580344, 'lng': 4.7285252}, 'viewport': {'northeast': {'lat': 51.58192072989272, 'lng': 4.730188479892721}, 'southwest': {'lat': 51.57922107010728, 'lng': 4.727488820107277}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,4fc9d1588061c05ff4de1a2c5c693d03cef7d82e,IKEA,{'open_now': True},"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110185452794712835486/photos"">Harry Fabel</a>'], 'width': 1080, 'photo_reference': 'CmRaAAAA6pJKkjYUpx2RF5nd0vr87y9kcDnSD4eQBi-ilAqa6qOOUMOMU7OJyrw6C_7Olz3sxZUOEAPQ-RrlxhqXH51a6ELMyYwqmXDlFX4G6RbMIwUzkvB93TjGILF5lRuEONfeEhCR1bvczpD4aOqabyvwzAz4GhRf_JL7rw-VoAkfVLePzFcBSb7E6g'}]",ChIJx5_LAP0fxEcRrTq4oN2VoLE,"{'compound_code': 'HPJH+4C Breda, Netherlands', 'global_code': '9F36HPJH+4C'}",,4.2,ChIJx5_LAP0fxEcRrTq4oN2VoLE,"['home_goods_store', 'furniture_store', 'store', 'point_of_interest', 'establishment']",4564
the Netherlands,"Van Rensselaerlaan 7, 3526 AP Utrecht, Netherlands","{'location': {'lat': 52.0619327, 'lng': 5.0997271}, 'viewport': {'northeast': {'lat': 52.06304542989272, 'lng': 5.102028400000001}, 'southwest': {'lat': 52.06034577010728, 'lng': 5.0975992}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,2d73ed529b2412e22908b080312441ec3e26c2b2,IKEA,{'open_now': True},"[{'height': 4608, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108367561293677375303/photos"">Erik Mulder</a>'], 'width': 2592, 'photo_reference': 'CmRaAAAATWGwGqIr7yXm55nMyqkPLqZ0QPmeXbrP3Y-qM_cGHc93CGYnCXoR_fr8P_2bpo6m8KZNzHp0nRW0788JnB966CmXVy4uQEXRQKpx08P9r8IDnVS6A0Y3RbXOl_Kt-jJYEhDtRp5Srjs60piej0AuYWoHGhTi50tDfBx8oNdLyZ29Q6g8xRw_mA'}]",ChIJXbZNU5RlxkcRRQ2UgYGXK0s,"{'compound_code': '336X+QV Utrecht, Netherlands', 'global_code': '9F47336X+QV'}",,4.1,ChIJXbZNU5RlxkcRRQ2UgYGXK0s,"['home_goods_store', 'furniture_store', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",4845
the Netherlands,"Diepholtstraat 3, 8028 PN Zwolle, Netherlands","{'location': {'lat': 52.5326144, 'lng': 6.1617734}, 'viewport': {'northeast': {'lat': 52.53407902989272, 'lng': 6.162839729892722}, 'southwest': {'lat': 52.53137937010728, 'lng': 6.160140070107278}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,15ff0c93213aff01fee52916a7454138e0984806,IKEA Zwolle,{'open_now': True},"[{'height': 1836, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109483077613658488926/photos"">Rondom Zwolle</a>'], 'width': 3264, 'photo_reference': 'CmRaAAAAYSEyHENgrv_V12FLC14wHd5wym6sRZmuMwVrpzrvuKE8Lw1i_F_EANHWniYqkS8SMAD8H6Wi0L2z9qn8yWtpVvHi_oZKXbRhaf-deVqkq3-8zzrDD42bIpzivD3aglovEhAdRKaSKPi5TU7FBr9avmt1GhTBQb7uKFnqP7DwTgl3FU-gt_AOow'}]",ChIJ5UrRyI3fx0cRO5MZh7if9jg,"{'compound_code': 'G5M6+2P Zwolle, Netherlands', 'global_code': '9F48G5M6+2P'}",,4.2,ChIJ5UrRyI3fx0cRO5MZh7if9jg,"['home_goods_store', 'furniture_store', 'store', 'point_of_interest', 'establishment']",4921
the Netherlands,"Hamburg 1, 2993 LG Barendrecht, Netherlands","{'location': {'lat': 51.8494744, 'lng': 4.5119944}, 'viewport': {'northeast': {'lat': 51.85074467989272, 'lng': 4.513336329892723}, 'southwest': {'lat': 51.84804502010727, 'lng': 4.510636670107279}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,4ddd0b8a8e4aa7bf586e22abd8b486f0f70d12fa,IKEA,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106151793350503285975/photos"">Barry van Oostende</a>'], 'width': 2340, 'photo_reference': 'CmRaAAAAEAGtNW27Xv0-DxT3qBJt1TWNxhwd0CBbmaEeNgu-4utLi3EQ2KKBw1q2hp094tX35Bc2fmGbHs2AmaLv8U4WnQQaFu1cXBfvQcsErzt7F4KP5I7IAg16YIypzaq8TJlhEhCefSDID_doT1yVZ277pTD_GhQ1ziE8IKnK3bndLBWuc1kCAxnzIA'}]",ChIJ_wWJDX4xxEcRig-UIBEFjsw,"{'compound_code': 'RGX6+QQ Barendrecht, Netherlands', 'global_code': '9F36RGX6+QQ'}",,4.2,ChIJ_wWJDX4xxEcRig-UIBEFjsw,"['home_goods_store', 'furniture_store', 'store', 'point_of_interest', 'establishment']",5336
