country,formatted_address,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,price_level,rating,reference,types,user_ratings_total
Sweden,"Modulvägen 1, 141 08 Kungens Kurva, Sweden","{'location': {'lat': 59.2713955, 'lng': 17.9170009}, 'viewport': {'northeast': {'lat': 59.27225547989271, 'lng': 17.91775292989272}, 'southwest': {'lat': 59.26955582010727, 'lng': 17.91505327010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,82dde96163a0310d120107a55c50bd906e7e9b15,IKEA Möbelvaruhus Kungens Kurva,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114793655428494518451/photos"">Sebastian Lönberg</a>'], 'width': 3024, 'photo_reference': 'CmRaAAAAFQvL7c-9gUsudGzRvMEErkytHSu61NwQsoQPWSVP-q3DSCzGismBpbf-4Uy79sRYhe7O3WavRlUkLpVEC0OymljNXSeSmgswgsIQ4ULuy-CQJr8p92rGj_P0Yldh-0c-EhAvZ-W8ZOzfX0xqwuYRHAgXGhQkCYwiW2lpJ4X5BfS3lRj_TOa4KQ'}]",ChIJGVBvfbt2X0YRIY5g3k8V13M,"{'compound_code': '7WC8+HR Huddinge Municipality, Sweden', 'global_code': '9FFV7WC8+HR'}",,4.2,ChIJGVBvfbt2X0YRIY5g3k8V13M,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",9580
Sweden,"Kulthusgatan 1, 215 86 Malmö, Sweden","{'location': {'lat': 55.5526637, 'lng': 12.9861612}, 'viewport': {'northeast': {'lat': 55.55387887989272, 'lng': 12.988374}, 'southwest': {'lat': 55.55117922010727, 'lng': 12.9854236}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,f0c695bd73243001d4ac1150031d3cb5de18466b,IKEA Sverige,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115354270393610224878/photos"">Samer Mousli</a>'], 'width': 2988, 'photo_reference': 'CmRaAAAA8nYxXadMKZGe823oegq2w5OHIAPCkPgLTR6xZ6Ns3p8Jou1cZo0z-9rRUpQuTFVArxZUNvPD082K9ojvB30mukseN6kDWdXNTIU4JCs8m0L1gcrshLHWC9S7HtJ58gucEhDBLgBkSwkckjQ4HagIvSdQGhQGJ9PvvapixBUBfFh08-tRnABMaw'}]",ChIJH-NloJY0UUYR0e_7Z_iu6Fo,"{'compound_code': 'HX3P+3F Malmö, Sweden', 'global_code': '9F7JHX3P+3F'}",,4.3,ChIJH-NloJY0UUYR0e_7Z_iu6Fo,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",6418
Sweden,"Regeringsgatan 65, 111 56 Stockholm, Sweden","{'location': {'lat': 59.3347572, 'lng': 18.0675313}, 'viewport': {'northeast': {'lat': 59.33610867989272, 'lng': 18.06897422989272}, 'southwest': {'lat': 59.33340902010728, 'lng': 18.06627457010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,3332cc92eae3bcf39d2351ae6f16ef69f101e6af,IKEA Stockholm City - Kitchen,{'open_now': True},"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117539819396863698417/photos"">Audrius Gasiunas</a>'], 'width': 4128, 'photo_reference': 'CmRaAAAAaGlWWqf6An1d5xKpp0_4YLrDrGCMsHG5a1F56xbPIxCcL95FyaTuLQWM1dz1OlP-co5l245tV5DHvJCCqdSQSutNvmtKeIBeGUU5ULv9q-_XiVilasgnng5obeZacVf9EhCRFEPWzMHUQPFVcckp_u40GhT-jDNg8PT8V7sOQJ9lVfMo7ubulA'}]",ChIJ4Z9_rV2dX0YR-JlRrNzzO3E,"{'compound_code': '83M9+W2 Stockholm, Sweden', 'global_code': '9FFW83M9+W2'}",,4.0,ChIJ4Z9_rV2dX0YR-JlRrNzzO3E,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",208
Sweden,"Ikeagatan 1, 343 36 Älmhult, Sweden","{'location': {'lat': 56.5521542, 'lng': 14.132345}, 'viewport': {'northeast': {'lat': 56.55393057989271, 'lng': 14.13380812989272}, 'southwest': {'lat': 56.55123092010727, 'lng': 14.13110847010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,6197b3aaff6f7f8ca7b35fd7d69ddcdd1617e758,IKEA Hotel,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101023071005880811502/photos"">IKEA Hotell &amp; Restaurang Värdshuset</a>'], 'width': 2048, 'photo_reference': 'CmRaAAAAC9pwwBCaCSXV9_Vm9WO7cfaYC5hxghw7LmMJvF33dK-rryAqpw3abMNsW5bHBxdABdGRjhe2BKYQ1FK3_t3iJ1atHNiJRPwrdG6b6yyoSGvGIff0NHSh-73olp4LC-yLEhBFVGmzFA_IpNmSV7Ks9sMpGhSkTFC9nKgTvvuDUcyWad1tyB70ZA'}]",ChIJe9t0zZY0UUYRDkCtV5AX-fI,"{'compound_code': 'H42J+VW Älmhult, Sweden', 'global_code': '9F8PH42J+VW'}",,4.3,ChIJe9t0zZY0UUYRDkCtV5AX-fI,"['furniture_store', 'home_goods_store', 'store', 'lodging', 'point_of_interest', 'establishment']",521
Sweden,"Bergviksvägen 43, 653 46 Karlstad, Sweden","{'location': {'lat': 59.3787454, 'lng': 13.4198596}, 'viewport': {'northeast': {'lat': 59.38037647989272, 'lng': 13.42091942989272}, 'southwest': {'lat': 59.37767682010728, 'lng': 13.41821977010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,9270feecad6c83183a3f283b915383628537b38d,IKEA Karlstad,{'open_now': True},"[{'height': 5333, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118267045436088103267/photos"">Nina Samuelsson</a>'], 'width': 3000, 'photo_reference': 'CmRaAAAASQrEiwQrhIsvhKWUaI-uobfPC4eVB5Qtg-Hqk-T2oOA_U5uWqrSENXp4fY1c8iWHqLjPHdbroxjTyOSuss_xfkpnw4Q8FEgFCwRini6OkepiNA4pG4mjWGV8IWCkspn7EhCuXTo9hzx55BBI_KB1wXNpGhQW4ASbHzB9bV0azz7cSF_uh6uf_g'}]",ChIJXzXcUvyyXEYR8aCnVjMlhXc,"{'compound_code': '9CH9+FW Karlstad, Sweden', 'global_code': '9FFM9CH9+FW'}",,4.2,ChIJXzXcUvyyXEYR8aCnVjMlhXc,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",2313
Sweden,"Östra Torpvägen 30, 451 76 Uddevalla, Sweden","{'location': {'lat': 58.3563748, 'lng': 11.8187736}, 'viewport': {'northeast': {'lat': 58.35733942989273, 'lng': 11.82031677989272}, 'southwest': {'lat': 58.35463977010728, 'lng': 11.81761712010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,be767752eb0395a83cae06738a5b4aaf8cff32e0,IKEA Möbelvaruhus Uddevalla,{'open_now': True},"[{'height': 4032, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112356802604407455986/photos"">Tanja Malii</a>'], 'width': 3024, 'photo_reference': 'CmRaAAAAfYZjYkyze_GWd_nx-HjfBuzdzaQQoSW-qVO_OProA62xYPrKJv7acHlEnEXJ6E1k_gths0TSNvJz40gr_7gReQsH1HrNeqASAjashW5Cmy4RHWlnzuMDU49PHR_DZ25vEhBFdjF41dFKLwGY0EGDz43XGhRgt7LOAN7hEKMUFbNG6m_kzX-GFg'}]",ChIJq6qqqqEPRUYR6X1P9gNdTN4,"{'compound_code': '9R49+GG Uddevalla N, Sweden', 'global_code': '9FCH9R49+GG'}",,4.3,ChIJq6qqqqEPRUYR6X1P9gNdTN4,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",2839
Sweden,"Marknadsgatan 1, 904 22 Umeå, Sweden","{'location': {'lat': 63.8082075, 'lng': 20.2538289}, 'viewport': {'northeast': {'lat': 63.80945522989271, 'lng': 20.25452222989272}, 'southwest': {'lat': 63.80675557010727, 'lng': 20.25182257010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,aff79545134a21b0f61a65418b4efe760b465c9c,IKEA furniture store Umeå,{'open_now': True},"[{'height': 2340, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117367894440248125258/photos"">Sören Hjorth</a>'], 'width': 4160, 'photo_reference': 'CmRaAAAAN2_MjU2OHxjtg3aPry8_IGDVsSyesFfWqPC-CaLyYNQtjoiasC2OB7xo3NCjLmQl7Wawy9m4-0-5tAD3L3W-hCEIjvNRdikh2UqN3amlrThY4Eye6S1TAoPBtAgPp9zoEhDLwGBYgOs1IBp0xLI0zXwGGhR5QAqFcB6RySAiXOY_7t0T329S8A'}]",ChIJRdwz0aRbfEYR4SohHg0NDac,"{'compound_code': 'R753+7G Umeå, Sweden', 'global_code': '9GM2R753+7G'}",,4.3,ChIJRdwz0aRbfEYR4SohHg0NDac,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",3243
Sweden,"Norra Backagatan 1, 781 70 Borlänge, Sweden","{'location': {'lat': 60.4816622, 'lng': 15.4212999}, 'viewport': {'northeast': {'lat': 60.48305882989271, 'lng': 15.42328432989272}, 'southwest': {'lat': 60.48035917010727, 'lng': 15.42058467010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,8b3245d35657eab59b51be76d2d5f4ddec9336b9,IKEA furniture store Borlange,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100349418110209600021/photos"">Mikael Hellström</a>'], 'width': 4032, 'photo_reference': 'CmRaAAAAX-p3tsdu4xq4Yw84hmUgUqSSUt5wzg2-pKbp1sjfqPrYmdX-PedCP6aPgl6iaomm9KcRLOKIa0LkStiq2cQARxB4j5OcrvqgLGbEZGnEmnPkep8lpeap-vKnqIAf_W40EhC87E3PpdooMS_zxm68kvFHGhRPRtsRXdTDjnAX89Kz0uHRXKUJDA'}]",ChIJwYdj74d-Z0YRAB-8pIzAPNw,"{'compound_code': 'FCJC+MG Borlänge, Sweden', 'global_code': '9FGQFCJC+MG'}",,4.3,ChIJwYdj74d-Z0YRAB-8pIzAPNw,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",2534
Sweden,"Gesällvägen 3, 857 53 Sundsvall, Sweden","{'location': {'lat': 62.4455124, 'lng': 17.3348565}, 'viewport': {'northeast': {'lat': 62.44709787989272, 'lng': 17.33617017989272}, 'southwest': {'lat': 62.44439822010728, 'lng': 17.33347052010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,4c9356e84f4653880d6467e7c5730d835a30675e,IKEA Möbelvaruhus Sundsvall,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111155194237001680905/photos"">Tommy Larsson</a>'], 'width': 4032, 'photo_reference': 'CmRaAAAA7vKaFiNABboWNRRbESyCemA4FvxFpK6_DlREp84jIR2eTumDU0J9PFKpDML2ozTonZW5N1-oK8rGe6RrsXc4mOnuY8x1-ItBAxbNXel7TIw2Aw5WZwrNPVmqJm1Ccfk0EhAm7X1HVTYS8rOkJxt-j5TxGhTwTRpmbkP-vQ6zrE9P16FSU7dZQg'}]",ChIJa-OAl4JgZEYR2yZv8O-YbFk,"{'compound_code': 'C8WM+6W Sundsvall, Sweden', 'global_code': '9FJVC8WM+6W'}",,4.2,ChIJa-OAl4JgZEYR2yZv8O-YbFk,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",1935
Sweden,"Norrskensvägen 2, 953 36 Haparanda, Sweden","{'location': {'lat': 65.8434286, 'lng': 24.1321217}, 'viewport': {'northeast': {'lat': 65.84439717989271, 'lng': 24.13312067989272}, 'southwest': {'lat': 65.84169752010727, 'lng': 24.13042102010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,1a2b6685bfe12c1af4e86d0760039c5139e2eede,IKEA Möbelvaruhus Haparanda,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109705447142807364090/photos"">Johan Valkeapää</a>'], 'width': 1920, 'photo_reference': 'CmRaAAAAfJ3MnineIIm2yZ4TUg_SJDL_85MeRVUeNrZMwGLi2dKRRpgJhxIpS0BAVdPUnQyB5AG1iZEJd1V2FDULniAzxKrbDGZT4S8h9LtzXrIW9_upP1DoryVDm-E6gOkzvrpBEhALT_4TxLJiDPYtkG-ZhBieGhSiyDZXBaE3456e46qZMk3AZCkiXw'}]",ChIJGxUc7HRH1UURyN2wRiievqA,"{'compound_code': 'R4VJ+9R Haparanda, Sweden', 'global_code': '9GQ6R4VJ+9R'}",,4.1,ChIJGxUc7HRH1UURyN2wRiievqA,"['furniture_store', 'department_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",3218
